UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
10.42.0.211-115.239.210.141-55331-80-6,20-06-22,21-06-22,1,Heavy Rain,NA,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD,NA
202.77.129.150-10.42.0.211-80-35468-6,15-11-22,23-11-22,8,Cyclone and Flood,NA,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,NA,NA,NA,NA,88,NA,NA,16710,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,NA
10.42.0.211-121.12.98.62-51891-80-6,22-12-22,22-12-22,0,Heavy Rain,NA,Vishakhapatnam,ANDHRA  PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died due to landslips,Landslips ,IMD,NA
10.42.0.211-23.208.158.38-44652-443-6,06-10-22,06-10-22,0,Cyclone and Flood,NA,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
162.248.16.28-10.42.0.211-443-34254-6,19-02-22,19-02-22,0,Heavy Rain,NA,Parts of Assam,ASSAM,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to landslide,NA,IMD,NA
198.105.244.11-10.42.0.42-80-45718-6,06-01-22,06-06-22,151,Cyclone and Flood,NA,"Barpeta, Dhemaji, Golpara",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,About 900 people of 135 villages affected..,IMD,NA
203.205.191.21-10.42.0.211-80-47110-6,06-09-22,17-06-22,Diffing the dates,Heavy Rain,NA,"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,3,NA,NA,NA,3 persons died in Sonitpur & Baksa,NA,IMD,NA
180.76.147.97-10.42.0.211-80-54509-6,20-06-22,24-06-22,4,Heavy Rain,NA,"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,NA,NA,NA,NA,1,NA,NA,NA,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD,NA
172.217.10.10-10.42.0.151-443-56814-6,14-07-22,17-07-22,3,Cyclone and Flood,NA,Parts of Assam,ASSAM,NA,NA,NA,NA,5,10,NA,NA,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD,NA
10.42.0.211-10.42.0.1-62839-53-17,19-08-22,23-08-22,4,Heavy Rain,NA,"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,8,NA,NA,NA,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD,NA
10.42.0.211-104.192.110.245-53151-80-6,25-08-22,31-08-22,6,Cyclone and Flood,NA,"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,7,NA,NA,NA,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD,NA
180.149.136.194-10.42.0.42-80-49179-6,09-01-22,09-12-22,334,Cyclone and Flood,NA,"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD,NA
10.42.0.151-88.212.201.194-33918-443-6,23-09-22,25-09-22,2,Heavy Rain,NA,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD,NA
172.217.12.194-10.42.0.211-443-46625-6,24-07-22,24-07-22,0,Heavy Rain,NA,Parts of Bihar,BIHAR,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
174.129.31.175-10.42.0.211-443-59375-6,09-03-22,09-03-22,0,Cyclone and Flood,NA,Mungeli,CHATTISGARH,NA,NA,NA,NA,1,4,NA,NA,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD,NA
172.217.7.228-10.42.0.211-443-47183-6,18-09-22,22-09-22,4,Heavy Rain,NA,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,NA,NA,NA,NA,2,4,NA,NA,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
172.217.6.206-10.42.0.151-80-36951-6,06-01-22,30-09-22,267,Cyclone and Flood,NA,Saurashtra & Kutch,CHATTISGARH,NA,NA,NA,NA,70,NA,NA,9053,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD,NA
10.42.0.151-52.2.229.30-50811-443-6,04-03-22,04-04-22,31,Heavy Rain,NA,Shimla,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Shimla due to landslide,NA,IMD,NA
10.42.0.42-104.254.66.16-49960-80-6,20-06-22,21-06-22,1,Cyclone and Flood,NA,Chamba,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD,NA
10.42.0.211-31.13.71.7-49081-443-6,07-10-22,07-11-22,31,Heavy Rain,NA,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD,NA
10.42.0.211-66.198.24.224-60502-443-6,16-07-22,17-07-22,1,Cyclone and Flood,NA,"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD,NA
10.42.0.211-23.21.51.186-39524-443-6,26-07-22,26-07-22,0,Cyclone and Flood,NA,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3   persons   including  2   children  died   due  to  landslide. ,NA,IMD,NA
162.208.22.39-10.42.0.211-443-35853-6,08-08-22,08-12-22,122,Cyclone and Flood,NA,"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,4,2,NA,NA,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD,NA
10.42.0.211-10.42.0.1-56938-53-17,19-08-22,19-08-22,0,Cyclone and Flood,NA,Kullu,HIMACHAL PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 persons died due to landslide.,Landslide,IMD,NA
172.217.3.106-10.42.0.42-443-59622-6,21-03-22,21-03-22,0,Cyclone and Flood,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,1,NA,NA,One person died & one injured due to house collapsed by landslide,NA,IMD,NA
10.42.0.211-10.42.0.1-61631-53-17,30-03-22,30-03-22,0,Heavy Rain,NA,Budgam,JAMMU & KASHMIR,NA,NA,NA,NA,16,NA,NA,NA,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD,NA
10.42.0.151-10.42.0.1-50303-53-17,04-04-22,04-04-22,0,Heavy Rain,NA,Jammu & Kashmir ,JAMMU & KASHMIR,NA,NA,NA,NA,24,NA,NA,NA,24 persons died due to landslide & landslips,Massive Landslide,IMD,NA
222.73.28.96-10.42.0.211-80-37079-6,07-06-22,07-06-22,0,Cyclone and Flood,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One woman died,NA,IMD,NA
151.101.1.140-10.42.0.151-80-58680-6,07-09-22,16-07-22,Diffing the dates,Cyclone and Flood,NA,"Anantnag, Ganderbal ",JAMMU & KASHMIR,NA,NA,NA,NA,11,2,NA,NA,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD,NA
198.11.132.221-10.42.0.211-443-58028-6,24-07-22,24-07-22,0,Cyclone and Flood,NA,Jammu,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,Damage to several houses reported,IMD,NA
219.142.78.162-10.42.0.211-80-60550-6,25-07-22,31-07-22,6,Heavy Rain,NA,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,NA,NA,NA,NA,4,19,NA,NA,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD,NA
173.194.208.188-10.42.0.42-5228-36098-6,23-09-22,23-09-22,0,Heavy Rain,NA,"Anantnag, Kulgam ",JAMMU & KASHMIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD,NA
172.217.12.206-10.42.0.151-443-37571-6,03-06-22,14-03-22,Diffing the dates,Heavy Rain,NA,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,4,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD,NA
222.73.28.96-10.42.0.211-80-34397-6,04-07-22,04-12-22,153,Heavy Rain,NA,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,NA,NA,NA,NA,4,1,NA,NA,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD,NA
172.217.6.225-10.42.0.151-443-48456-6,22-04-22,23-04-22,1,Heavy Rain,NA,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD,NA
10.42.0.151-23.208.147.183-60966-443-6,05-04-22,05-11-22,214,Cyclone and Flood,NA,"Raichur, Tumkur ",KARNATAKA,NA,NA,NA,NA,2,1,NA,NA,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD,NA
206.126.112.142-10.42.0.151-443-42271-6,27-05-22,31-05-22,4,Heavy Rain,NA,"Bangalore Rular, Bangalore Urban, Chitradurga, Hassan ",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died &  4 other injured,"Damage to more than 3000 Banana plants, Onion crop in 40 acre land, Coconut trees, pomegranate, Betel nuts reported. ii) Damage to Rose garden causing loss of lakhs of rupees reported. iii) Damage to many houses reported.  ",IMD,NA
192.229.163.180-10.42.0.211-443-59906-6,20-06-22,25-06-22,5,Cyclone and Flood,NA,"Chickmangalur, Dakshina Kannada, Hassan,  Kodagu, Shimoga ",KARNATAKA,NA,NA,NA,NA,8,8,NA,NA,8 persons died &  8 persons injured. ,i) Damage to Betel nut crops reported. ii) Damage to many houses reported.  iii) About 400 electric poles uprooted causing disruption in power supply for a week,IMD,NA
10.42.0.211-10.42.0.1-65040-53-17,07-10-22,20-07-22,Diffing the dates,Cyclone and Flood,NA,"Bellary ,Dakshina Kannada, Udupi ",KARNATAKA,NA,NA,NA,NA,10,NA,NA,NA,10 persons died,NA,IMD,NA
10.42.0.211-104.192.110.245-34811-80-6,29-09-22,29-09-22,0,Cyclone and Flood,NA,Uttara Kannada ,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damage to 200 acres of Sugarcane & 70 acres of Banana plantation reported. ,IMD,NA
10.42.0.211-10.42.0.1-14796-53-17,10-01-22,10-04-22,90,Heavy Rain,NA,"Bagalkot, Belgaum, Bellary, Chitradurga, Davangere, Dharwad, Gulbarga, Tumkur ",KARNATAKA,NA,NA,NA,NA,4,NA,NA,NA,4 died,"Damage to crops standing crops of Sugarcane, Tobacco & sowing grains of Jowar, Cotton, and Paddy crops reported. ii) Damage to several houses reported. iii)  A small bridge collapsed causing inundating the road & disruption in traffic. iv)  Several trees uprooted.",IMD,NA
172.217.8.3-10.42.0.42-80-44821-6,11-02-22,11-02-22,0,Cyclone and Flood,NA,Chitradurga,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 houses collapsed,IMD,NA
172.217.12.138-10.42.0.151-443-54377-6,03-03-22,03-09-22,184,Heavy Rain,NA,"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur,  Pathanamthitta",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to Paddy fields, vegetable plantations, thousands of Banana crops, Betel-leaves, Tapioca, Yam, Nutmeg Coconut trees, fruit crops etc. reported. ii) Roof of Co-operative bank building & a school building blown away causing damage to all files in the staff-room.  iii) Rice sacks kept for afternoon meals for school children extensively damaged in Pathanamthitta Dist. iv) Damage to several houses reported. v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply",IMD,NA
151.101.46.2-10.42.0.211-443-51471-6,13-03-22,17-03-22,4,Cyclone and Flood,NA,"Alappuzha, Kottayam, Thrissur, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,3,NA,NA,3 person injured Thiruvananthapuram Dist.,"Damage to thousands of Banana crops, vegetable plantation & Coconut, Teak, Jackfruit, Nutmeg trees reported. ii) Damage to several houses reported. iii) Boat capsized causing damage to several fishing equipments. In Alappuzha Dist. iv) Rs.12 lakhs worth damage reported.  v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Several electric cable lines damaged completely",IMD,NA
10.42.0.151-119.167.164.25-42320-80-6,27-03-22,31-03-22,4,Heavy Rain,NA,"Alappuzha, Pathanamthitta ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to around 3500 Banana plantation uprooted. Damage to Tapioca, Bitter gaud crops & Cashew, Jackfruit, Peepal trees reported. ii) Damage to 3 acers of cultivation land & Gingily crops reported.  iii) Several road side trees uprooted causing disruption in vehicular traffic. iv) Several electric cable lines damaged causing disruption in power supply. v) Damage to worth Rs.15 lakhs according to Agriculture Department reported. vi) Partial damage to 58 houses in Haripad town reported",IMD,NA
10.42.0.211-104.97.95.172-36365-80-6,04-06-22,04-10-22,122,Cyclone and Flood,NA,"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam ",KERALA,NA,NA,NA,NA,NA,1,NA,NA,1 person injured,"Damage to 250 acres of Paddy crops, 500 Banana plantation, vegetables & Gingili crops reported.  ii) Damage to worth Rs.30,000/- reported. iii) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply for few hours.",IMD,NA
10.42.0.211-10.42.0.1-37648-53-17,04-11-22,16-04-22,Diffing the dates,Heavy Rain,NA,"Ernakulam, Idukki, Kollam, Kozhikode,  Malappuram,  Pathanamthitta, Thiruvananthapuram,Wayanad ",KERALA,NA,NA,NA,NA,NA,5,NA,NA,5 persons injured,"i) Damage to more than 12,000 Banana plantation, more than 350 acres of vegetable cultivation & Teak, Rubber trees reported. ii) Damage to several houses reported.  iii) Approx Rs. 8 lakhs worth damage reported.  iv) Several trees uprooted & fell across the road causing damage to small vendors & traffic disruption",IMD,NA
172.217.12.195-10.42.0.151-443-48392-6,19-04-22,25-04-22,6,Heavy Rain,NA,"Alappuzha, Idukki, Kasaragod, Kannur, Malappuram,  Palakkad, Pathanamthitta,  Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,13,NA,NA,2 persons injured in Idukki Dist. 3 persons injured in Kannur Dist. due to wall collapsed. One person injured in Malappuram Dist. 2 persons injured in Palakkad Dist. One person died &  5 persons seriously injured in Thiruvananthapuram Dist.,"Alappuzha: i) Vegetable crops e.g. Beans, Pumkin, Cucumber submerged. ii) Alappuzha ?üí???É???üÉ?????õ?üí????õ?ü?õ?õÉ???™???≠?üÉ?????™?üí????õ?ü?õ?õÉ?™è≠???™?üÉ???õÉ?™è? Kottayam Pathanamthitta road traffic disrupted iii) Several areas submerged. iv) Low-lying areas flooded. Idukki: i) Severe damage to Agriculture crops including Rubber Teak, Banana, Arecanut, Cardmon and Coconut reported. ii) Damage to 3 houses fully & 4 houses partially reported Kasaragod: i) Damage to 50 houses fully & 20 houses partially reported. ii) Damage to 15,000 Banana plantation, Rubber, Nutmeg, Coconut & more than 100 acres of agriculture crops reported. iii) Loss worth cores as per Krishi Bhavan authorities reported Kannur : Damage to Banana & vegetable crops reported. Malappuram: i) Damage to 100 acres of agricultural land & 2220 Banana plantation reported. ii) Loss worth lakhs rupees reported. iii) Several trees including 25 Coconut, Arecanuts uprooted. Palakkad: i) Damage to more than 10,000 Banana crops reported. ii) Damage to more than 20 houses reported. iii) Rs.1.5 crores worth damage estimated. iv) Several trees, 25 electric poles uprooted causing disruption in vehicular traffic & power supply. Pathanamthitta:  i) Damage to 20 acres of agricultural land reported. ii) 15 shops inundated. iii) Damage to several vehicles, computers and motors of different shops reported. Thiruvananthapuram: i) Extensive damage to Agricultural crops Banana, Tapioca,    vegetable in Meenmootil, Vamanapuram, Nelimood, Neyyattinkara, Vellarada etc. reported. ii) City area, Coastal areas, low-lying areas & several houses in Poovar, Kanjiramkulam, Pulluvilla & Vanjiyoor police station flooded. iii) Damage to about one hundred houses reported. iv) Damage to Thycaud-Women & child hospital reported. v) Several trees/electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Loss worth lakhs of  rupees reported. ",IMD,NA
10.42.0.211-119.146.74.34-33273-80-6,26-04-22,30-04-22,4,Cyclone and Flood,NA,"Alappuzha, Ernakulam, Kannur, Kottayam, Malappuram, Pathanamthitta Thiruvananthapuram,Wayanad",KERALA,NA,NA,NA,NA,NA,2,NA,NA,One person injured in Kannur Dist. One person injured in Kottayam Dist.,"Alappuzha : i) More than 200 fishermen families affected. ii) Damage to 7 boats, nets, engine & fishing equipments in NeerkunamPounnapra coastal area reported. iii) Around 15 lakhs rupees worth damage reported Ernakulam: i) Damage to 200 Banana & Rubber Coconut, vegetable crops reported. ii) Damage to Agriculture crops worth lakhs of rupees reported. iii) Damage to several houses reported. iv) Irrigation & drinking water supply disrupted. Kannur: i) Damage to 50 houses reported. ii) Damage to 300 acres of agriculture crops reported. Kottayam: i) Damage to hundreds of Rubber, Banana, Tapioca, Teak Coconut & vegetable crops reported. ii) Damage to few houses reported. Malappuram: i) Around 5000 hectares of Paddy fields flooded. ii) Seeds ready for harvest, fell & got sprouted. Pathanamthitta : i) Damage to 2500 Tapioca plantation reported. ii) Damage to 5 houses reported. Thiruvananthapuram & Wayanad i) Thousands of Banana plantations uprooted. ii) Several electric cable lines damaged. ",IMD,NA
180.163.255.159-10.42.0.211-80-59934-6,05-03-22,05-05-22,61,Heavy Rain,NA,"Ernakulam, Idukki, Kannur, Palakkad, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured as uprooted tree fell over the ca,"i) Damage to more than 2500 Banana crops reported & severe loss to Nutmeg, Tapioca & vegetable reported. ii) Damage to more than 80 houses reported. iii) Damage to portion of a school building, portion of a mosque reported. iv) Damage to several electric cable lines including 11 KV electric lines reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply",IMD,NA
172.217.7.195-10.42.0.42-443-54692-17,05-07-22,05-09-22,62,Cyclone and Flood,NA,"Kottayam, Palakkad, Thrissur",KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured in Palakkad Dist,"Kottayam : i) Damage to Agriculture crops reported. ii) Transformer collapsed. iii) Damage to few houses reported. iv) Damage worth Rs. 4 lakhs reported by KSEB (Kerala State Electricity Board) authorities. Palakkad & Thrissur: i) Damage to more than 70 houses (Pookotkavu village - 40, Srikrishnapuram village - 29) reported. ii) Damage to around 400 plantations reported. iii) 15 Rubber trees & more than 50 electric poles uprooted causing disruption in vehicular traffic & power supply. iv) Damage to Anganwadi building reported as uprooted tree fell over it. v) Water supply disrupted for 2 days",IMD,NA
10.42.0.42-72.30.2.182-42276-443-6,05-10-22,14-05-22,Diffing the dates,Cyclone and Flood,NA,"Ernakulam, Idukkai, Kannur, Kasaragod, Kollam, Kozhikode, Mallapuram, Palakkad, Thrissur, Wayanad",KERALA,NA,NA,NA,NA,NA,4,NA,NA,4 persons injured,"i) Damage to Agriculture crops Banana, Rubber crops & 500 acres of Paddy fields reported. ii) Damage to several houses reported. iii) Water logging in low lying areas. iv) Loss worth Rs.60,000/-. v) Well caved in. vi) A huge tree uprooted & fell across Kozhikode-Vythiri-Ooty State Highway causing traffic disruption",IMD,NA
10.42.0.42-106.39.162.36-42068-80-6,15-05-22,28-05-22,13,Heavy Rain,NA,"Kasaragod, Kollam, Thiruvananthapuram",KERALA,NA,NA,NA,NA,5,15,NA,NA,"5 persons died in Pozhiyoor, Thiruvananthapuram Dist. 15 persons injured in Thiruvananthapuram Dis","Kasaragod: Worth rupees One lakh damage reported. Kollam: i) Extensive damage to Agricultural crops mainly Banana, Tapioca crops reported. ii) 6 houses inundated. iii) Low-lying areas, fields & NeduvathurPalmootti canal flooded. iv) Damage to house-hold electric appliances & wiring reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply. Thiruvananthapuram: i) Agriculture crops including Banana, Rubber crops submerged. ii) Around 650 farmers affected. iii) Low-lying areas flooded. iv) Damage to more than 300 houses reported. v) People shifted to relief camps. vi) Eastfort, Killipalam, Karmana, Poojappura & Pazhavangadi areas innundated. vii) Thampanoor railway station, Bus stand, bus terminus flooded. viii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply. ix) Varkala beach area affected",IMD,NA
10.42.0.211-10.42.0.1-23660-53-17,06-08-22,16-06-22,Diffing the dates,Heavy Rain,NA,"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,1,NA,NA,One person injured in Kollam Dist. One person died due to wall collapsed in Thrissur Dist.,Alappuzha : i) Damage to two acres of Banana crops reported. ii) Damage to 10 houses reported. iii) 26 families of 90 persons shifted to relief camps. iv) Water supply disrupted in beach areas. Kannur : District office of Kerala Aided School Employees?üí???É???üÉ?????õ?üí????õ?ü?õ?õÉ???™???≠?üÉ?????™?üí????õ?ü?õ?õÉ???™?????üÉ?????õ Provident fund caved in. Kollam :  Damage to a house reported as coconut tree uprooted fell over it. Thrissur :i) Damage to 5 houses reported. ii) Low-lying areas inundated. iii) Severe waterlogging in the low-lying areas.Thiruvananthapuram : i) Damage to 15 houses reported. ii) Damage to Fiber boat factory reported. iii) Around One lakh rupees worth damage reported.  iv) Several trees uprooted.,IMD,NA
180.76.147.97-10.42.0.211-80-35287-6,19-06-22,29-06-22,10,Cyclone and Flood,NA,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kottayam, Kozhokode, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMD,NA
172.217.10.110-10.42.0.151-443-55134-6,18-07-22,20-07-22,2,Heavy Rain,NA,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy Rain ,i) Damage to 465 hectares of land & Rs. 3.76 crore of crops reported. ii) Damage to 8 houses fully & 416 houses partially reported. Property loss of Rs.97.92 lakh reported.,IMD,NA
10.42.0.1-10.42.0.42-53-56184-17,08-12-22,08-12-22,0,Cyclone and Flood,NA,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Complete damage to one house reported. ii) 2 lakhs rupees worth damage reported.   ,IMD,NA
172.217.12.142-10.42.0.211-443-33591-6,09-05-22,09-06-22,31,Heavy Rain,NA,"Pathanamthitta, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,NA,NA,3000,Around 3000 hens perished in Thiruvananthapuram,"Pathanamthitta : Loss of worth Rs.3 lakhs reported as compound wall of a house collapsed. Thiruvananthapuram : i) Damage to Agricultural crops including Rubber plantation, Banana, Tapioca worth crores reported. ii) Damage to several shops, workshops, Govt. Dept., houses, bridges Oil-mill completely submerged causing damage worth Rs.8 lakhs. iii) Medicines of worth Rs.3 lakhs damaged, as Anand Veterinary hospital inundated. iv) Low lying areas inundated. v) 200 houses marooned.",IMD,NA
172.217.10.78-10.42.0.42-443-51018-6,27-09-22,28-09-22,1,Cyclone and Flood,NA,"Kannur, Wayanad",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 3.5 acres of Paddy crops reported. ii) Loss worth lakhs of rupees reported as 2 acres of land damaged. iii) Many roads washed away,IMD,NA
10.42.0.42-37.1.203.158-55462-443-6,10-08-22,10-09-22,31,Heavy Rain,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured,"i) Damage to Agricultural crops including Rubber, Coconut trees reported. ii) Damage to more than 150 houses reported.",IMD,NA
10.42.0.211-98.139.180.180-38782-443-6,30-10-22,31-10-22,1,Cyclone and Flood,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,100,More than 100 hens perished.,i) Extensive damage to Agricultural crops reported. ii) About 150 houses inundated. iii) Low lying areas flooded. iv) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,NA
